Name	par	average	ratio
Canagliflozin	auc_e	11.07345625	0.825293492827439
Canagliflozin	auc_l	11.1720313564737	0.828948197330162
Canagliflozin	k	1.00463080615594	0.911915637835909
Canagliflozin	r	0.96865835714842	0.61983641522616
Canagliflozin	t_mid	3.85512110340222	1.39885211073127
Control	auc_e	13.4175979166667	1
Control	auc_l	13.4773576834549	1
Control	k	1.10167077355977	1
Control	r	1.56276451875611	1
Control	t_mid	2.75591756542934	1
Cyclosporine	auc_e	13.1180520833333	0.977675152050782
Cyclosporine	auc_l	13.1795134666331	0.977900399780331
Cyclosporine	k	1.09419668819907	0.993215681544726
Cyclosporine	r	1.35430304583844	0.866607239660399
Cyclosporine	t_mid	2.94031709005835	1.06691039200234
Enasidenib	auc_e	13.8475458333333	1.03204358331029
Enasidenib	auc_l	13.9127496707178	1.03230544128078
Enasidenib	k	1.18912122497133	1.07937984151925
Enasidenib	r	1.28065798535594	0.819482378813728
Enasidenib	t_mid	3.28847053903665	1.19323980524227
Galantamine	auc_e	13.5306020833333	1.00842208623097
Galantamine	auc_l	13.5975084753328	1.00891501099102
Galantamine	k	1.11758259541948	1.01444335480399
Galantamine	r	1.51603567274948	0.970098600623583
Galantamine	t_mid	2.82243007738726	1.02413443449552
Mercaptopurine	auc_e	13.2706791666667	0.989050294179891
Mercaptopurine	auc_l	13.3512037432729	0.990639564286638
Mercaptopurine	k	1.10610315033974	1.00402332247196
Mercaptopurine	r	1.36544809293806	0.873738862477439
Mercaptopurine	t_mid	2.91602399733759	1.05809550834054
Methotrexate	auc_e	11.9477125	0.890450926775735
Methotrexate	auc_l	11.9684343022613	0.888040117608071
Methotrexate	k	0.979729402993572	0.889312330423204
Methotrexate	r	2.09936270356983	1.34336470938106
Methotrexate	t_mid	2.78296735537808	1.00981516656669
Sirolimus	auc_e	14.0398583333333	1.04637643939931
Sirolimus	auc_l	14.113981788	1.0472365666548
Sirolimus	k	1.16882688486827	1.06095842144518
Sirolimus	r	1.38580662899326	0.886766120142208
Sirolimus	t_mid	2.91239300069918	1.05677798103713
Teriflunomide	auc_e	13.1210729166667	0.977900291703355
Teriflunomide	auc_l	13.1913776334977	0.978780703408335
Teriflunomide	k	1.08578875958075	0.985583702172929
Teriflunomide	r	1.44007206770609	0.92149012242249
Teriflunomide	t_mid	2.83911704289602	1.03018939264017
Valproic acid	auc_e	13.6108041666667	1.01439946637244
Valproic acid	auc_l	13.6731424050631	1.01452693667458
Valproic acid	k	1.12626380455103	1.02232339423128
Valproic acid	r	1.54154567584525	0.986422239143398
Valproic acid	t_mid	2.8517472658026	1.03477233919308
Vildagliptin	auc_e	13.8196625	1.02996546668267
Vildagliptin	auc_l	13.8834564863855	1.03013193034337
Vildagliptin	k	1.14073202344544	1.03545637301374
Vildagliptin	r	1.51813344321738	0.971440946474617
Vildagliptin	t_mid	2.81946102474559	1.02305709724897
Capecitabine	auc_e	16.8711229166667	0.958845876281641
Capecitabine	auc_l	16.9981512682393	0.959015501001082
Capecitabine	k	1.18631595898715	0.952684405965424
Capecitabine	r	1.30384484672111	1.07178734274234
Capecitabine	t_mid	2.12417694471863	0.96082329124653
Celecoxib	auc_e	15.4440333333333	0.893542612690917
Celecoxib	auc_l	15.5339976741241	0.893054046793319
Celecoxib	k	1.08417173498623	0.887992083859554
Celecoxib	r	1.35687923500053	1.10599938048823
Celecoxib	t_mid	2.12934735303244	0.967988984493143
Chenodeoxycholic acid	auc_e	13.85055625	0.801349100441002
Chenodeoxycholic acid	auc_l	13.9384825206914	0.801327416315794
Chenodeoxycholic acid	k	1.02073778356161	0.836036434311372
Chenodeoxycholic acid	r	1.17589191813067	0.958475669334807
Chenodeoxycholic acid	t_mid	2.80930133692882	1.27709213078658
Control	auc_e	16.900125	1
Control	auc_e	17.2840479166667	1
Control	auc_e	17.5952395833333	1
Control	auc_l	16.9873728376765	1
Control	auc_l	17.3942414010684	1
Control	auc_l	17.7245844832492	1
Control	k	1.19082238009714	1
Control	k	1.220925	1
Control	k	1.24523499236347	1
Control	r	1.27535955137357	1
Control	r	1.22683543855292	1
Control	r	1.21651450313363	1
Control	t_mid	2.18769526463834	1
Control	t_mid	2.19976403362421	1
Control	t_mid	2.21078835626769	1
Dasatinib	auc_e	16.7322458333333	0.968074487759245
Dasatinib	auc_l	16.8637571806861	0.969502307795399
Dasatinib	k	1.188025	0.973053217847124
Dasatinib	r	1.23939586380906	1.01023806849837
Dasatinib	t_mid	2.25727213616474	1.02614285062466
Donepezil	auc_e	16.19545	0.95830356284347
Donepezil	auc_l	16.3040307429411	0.959773527003549
